t	f1	f2	f3
0	1	1	-1
0.015625	0.965579614024331	0.984496437005408	-0.984496437005408
0.03125	0.895454747562407	0.969233234476344	-0.969233234476344
0.046875	0.793393846609905	0.954206665969188	-0.954206665969188
0.0625	0.664265347050633	0.939413062813476	-0.939413062813476
0.078125	0.513818470666429	0.924848813216205	-0.924848813216205
0.09375	0.34843723029689	0.910510361380034	-0.910510361380034
0.109375	0.174877834425843	0.89639420663515	-0.89639420663515
0.125	5.40355657066832E-17	0.882496902584595	-0.882496902584595
0.140625	-0.169497409098779	0.868815056262843	-0.868815056262843
0.15625	-0.327326485711446	0.855345327307423	-0.855345327307423
0.171875	-0.467837041410227	0.842084427143382	-0.842084427143382
0.1875	-0.586212111266465	0.8290291181804	-0.8290291181804
0.203125	-0.678625719412244	0.81617621302234	-0.81617621302234
0.21875	-0.742358059742115	0.803522573689061	-0.803522573689061
0.234375	-0.77586501656252	0.791065110850296	-0.791065110850296
0.25	-0.778800783071405	0.778800783071405	-0.778800783071405
0.265625	-0.751994159519934	0.76672659607082	-0.76672659607082
0.28125	-0.69738085860661	0.754839601989007	-0.754839601989007
0.296875	-0.617895749023828	0.743136898668758	-0.743136898668758
0.3125	-0.517330372450232	0.731615628946642	-0.731615628946642
0.328125	-0.400162227311567	0.72027297995544	-0.72027297995544
0.34375	-0.27136318780645	0.709106182437398	-0.709106182437398
0.359375	-0.136194994392679	0.698112510068126	-0.698112510068126
0.375	-1.26248822658214E-16	0.687289278790972	-0.687289278790972
0.390625	0.132004714934703	0.676633846161729	-0.676633846161729
0.40625	0.254922123392085	0.666143610703488	-0.666143610703488
0.421875	0.364351854200094	0.655816011271502	-0.655816011271502
0.4375	0.456542451300264	0.645648526427892	-0.645648526427892
0.453125	0.528514241690651	0.635638673826052	-0.635638673826052
0.46875	0.578149038246528	0.625784009604591	-0.625784009604591
0.484375	0.604244282456599	0.616082127790678	-0.616082127790678
0.5	0.606530659712633	0.606530659712633	-0.606530659712633
0.515625	0.585653640299247	0.597127273421627	-0.597127273421627
0.53125	0.543120758781836	0.587869673122347	-0.587869673122347
0.546875	0.48121769319625	0.578755598612484	-0.578755598612484
0.5625	0.402897299170862	0.569782824730923	-0.569782824730923
0.578125	0.311646655985846	0.560949160814471	-0.560949160814471
0.59375	0.211337863160416	0.55225245016302	-0.55225245016302
0.609375	0.106068768283424	0.543690569513	-0.543690569513
0.625	1.63871136580099E-16	0.53526142851899	-0.53526142851899
